,Authority,DRS Glass Bottles,DRS Plastic Bottles,DRS Ferrous Cans,DRS Aluminium Cans,DRS Beverage Cartons
0,Blaenau Gwent CBC,1013.75036977,424.139460525,64.033012725,107.144348025,19.653696975
1,Bridgend CBC,2104.996032,1026.146196,100.216242,163.524852,29.7453584055
2,Caerphilly CBC,2541.42078744,1063.29612683,160.527516905,268.605449079,49.2708220205
3,Cardiff County Council,4672.04851392,1954.72198612,295.107504632,493.793745374,90.5775509265
4,Carmarthenshire County Council,1854.97002029,776.094398732,117.168212664,196.053741981,35.9625207185
5,Ceredigion County Council,773.201512434,323.497068054,48.838869766,81.720485054,14.990148146
6,City  and County of Swansea ,2773.42799785,2065.588192,175.182131196,293.126536358,53.7687729415
7,Conwy CBC,2047.4757,730.205162,79.612776,133.089768,24.815697718
8,Denbighshire County Council,1385.62419768,579.726446683,87.5222288715,146.448085933,26.8632583665
9,Flintshire County Council,2461.342464,1119.5038,80.83467,156.678126,30.1453691065
10,Gwynedd Council,2083.564572,775.489812,83.658708,89.737629,17.82
11,Isle of Anglesey CC,1123.49424,475.216368,44.611459,74.577587,12.4280511405
12,Merthyr Tydfil CBC,868.634174678,363.42480479,54.8668240416,91.8068639904,16.8403123296
13,Monmouthshire CC,1544.82071043,646.332117123,97.577793467,163.273733623,29.949619777
14,Neath Port Talbot CBC,2060.4396,535.2056,93.70979071,156.80153099,28.76241101
15,Newport City Council,2421.538368,947.256156,110.742912,230.294655,31.337801172
16,Pembrokeshire County Council,1524.318336,657.253044721,99.2265433735,166.032532971,30.4556717285
17,Powys County Council,2370.5518416,133.3651813,92.5021631161,154.780847194,28.3917530356
18,Rhondda Cynon Taff CBC,4737.66546,2732.802028,212.421335,355.107655,23.89
19,Torfaen CBC,1365.252924,559.831261,75.481497,126.579084,17.3656435035
20,Vale of Glamorgan Council,1790.88058363,749.280244185,113.120036865,189.280061685,34.720011315
21,Wrexham CBC,1177.71235744,492.738941295,74.389586055,124.473663795,22.832447205
